product_name,product_price,image_url,mega_category,main_category,sub_category,mega_category_url,main_category_url,sub_category_url
"Vägglampa Robot, Roommate",599.0,https://mymall.se/inredning-mobler/barnrummet/belysning/vgglampa-robot-roommate-1528-f1c32361,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
"Vägglampa kanin, Roommate",599.0,https://mymall.se/inredning-mobler/barnrummet/belysning/vgglampa-kanin-roommate-1528-f1c32363,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Verk Group Nattlampa i silikon - Pingvin,149.0,https://mymall.se/inredning-mobler/barnrummet/belysning/verk-group-nattlampa-i-silikon-pingvin-1493-22037,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Verk Group Nattlampa i silikon - Kanin,149.0,https://mymall.se/inredning-mobler/barnrummet/belysning/verk-group-nattlampa-i-silikon-kanin-1493-22038,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Verk Group Nattlampa i silikon - Ägg,149.0,https://mymall.se/inredning-mobler/barnrummet/belysning/verk-group-nattlampa-i-silikon-gg-1493-22039,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Verk Group Nattlampa i silikon - Panda,149.0,https://mymall.se/inredning-mobler/barnrummet/belysning/verk-group-nattlampa-i-silikon-panda-1493-22040,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Verk Group Nattlampa i silikon - Anka,149.0,https://mymall.se/inredning-mobler/barnrummet/belysning/verk-group-nattlampa-i-silikon-anka-1493-22041,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Verk Group Nattlampa i silikon med fjärrkontroll - Pingvin,179.0,https://mymall.se/inredning-mobler/barnrummet/belysning/verk-group-nattlampa-i-silikon-med-fjrrkontroll-pingvin-1493-22043,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Verk Group Laddningsbar nattlampa i silikon - Kanin,179.0,https://mymall.se/inredning-mobler/barnrummet/belysning/verk-group-laddningsbar-nattlampa-i-silikon-kanin-1493-22044,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Verk Group Laddningsbar nattlampa i silikon - Ägg,179.0,https://mymall.se/inredning-mobler/barnrummet/belysning/verk-group-laddningsbar-nattlampa-i-silikon-gg-1493-22045,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Verk Group Nattlampa i silikon med fjärrkontroll - Ägg,179.0,https://mymall.se/inredning-mobler/barnrummet/belysning/verk-group-nattlampa-i-silikon-med-fjrrkontroll-gg-1493-22046,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Spargris - Björn,269.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/spargris-bjrn-1304-108115,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Spargris - Kanin,269.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/spargris-kanin-1304-108114,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
MAILEG KORGAR ROSA SET,750.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/maileg-korgar-rosa-set-620ccb556ba2a,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Rund makeup organisatör arrangör organiserare,149.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/rund-makeup-organisator-make-up-organiserare-622b9d29b7dd0,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Strandväska - Liten - Mint,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/strandvska-liten-mint-1304-114240,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Strandväska - Liten - Sand,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/strandvska-liten-sand-1304-114239,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Strandväska - Liten - Blue,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/strandvska-liten-blue-1304-114238,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Strandväska - Liten - Karamell,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/strandvska-liten-karamell-1304-114237,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Strandväska - Liten - Rose,129.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/strandvska-liten-rose-1304-114112,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Fotoram med avtryck,249.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/fotoram-med-avtryck-1304-114810,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Väska - Enhörning,239.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/vska-enhrning-1304-115143,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Ryggsäck - Dinosaurie,239.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/ryggsck-dinosaurie-1304-115135,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Pennskrin - Blommor,149.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/pennskrin-blommor-1304-114962,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Pennskrin - Safari,149.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/pennskrin-safari-1304-114961,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Pennskrin - Dinosaurie,149.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/pennskrin-dinosaurie-1304-114959,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Pennskrin - Fjärilar,149.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/pennskrin-fjrilar-1304-114958,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
Papplådor 2-pack rosa,279.0,https://mymall.se/inredning-mobler/barnrummet/forvaring/pappldor-2-pack-rosa-1304-9650,Inredning & Möbler,Barnrummet,Förvaring,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/forvaring
